Sample,Name,Pool,TechnicalReplicate,BiologicalReplicate,Condition,BasespaceId
C58wt-1-1.fastq.gz,C58wt-1-1,1,1,1,WT,
C58wt-2-1.fastq.gz,C58wt-2-1,1,1,2,WT,
C58wt-3-1.fastq.gz,C58wt-3-1,1,1,3,WT,
D13-1-1,1.fastq.gz,D13-1-1,1,1,1,D13,
D13-2-1.fastq.gz,D13-2-1,1,1,2,D13,
D13-3-1.fastq.gz,D13-3-1,1,1,3,D13,
C58wt-1.fastq.gz,C58wt-1-2,2,2,1,WT,
C58wt-2.fastq.gz,C58wt-2-2,2,2,2,WT,
C58wt-3.fastq.gz,C58wt-3-2,2,2,3,WT,
D13-1-2.fastq.gz,D13-1-2,2,2,1,D13,
D13-2-2.fastq.gz,D13-2-2,2,2,2,D13,
D13-3-2.fastq.gz,D13-3-2,2,2,3,D13,
